Machine_ID,Machine_Name,Machine_Type,Operating_Hours,Failure_Count,Downtime_Hours,Repair_Time_Hours,Last_Maintenance_Date,Criticality
M001,Conveyor Motor,Motor,1200,5,18,6,2026-04-10,High
M002,Hydraulic Pump,Pump,950,8,30,10,2026-03-25,High
M003,Air Compressor,Compressor,1500,3,12,4,2026-04-18,Medium
M004,Cooling Fan,Fan,1800,2,6,3,2026-04-22,Low
M005,Gearbox Unit,Gearbox,1100,6,22,8,2026-04-05,High
M006,Packaging Machine,Production Machine,2000,4,16,5,2026-04-12,Medium
M007,Boiler Feed Pump,Pump,870,7,28,9,2026-03-30,High
M008,Cooling Tower Fan,Fan,1600,2,8,3,2026-04-20,Medium
M009,Industrial Mixer,Mixer,1400,5,20,7,2026-04-08,Medium
M010,Water Chiller,Chiller,1250,6,24,8,2026-04-01,High
M011,CNC Machine,Machining Equipment,2200,3,10,4,2026-04-21,Medium
M012,Forklift,Material Handling,1000,4,14,5,2026-04-15,Medium
M013,Dust Collector,Support Equipment,1700,2,7,2,2026-04-24,Low
M014,Welding Machine,Production Equipment,1300,3,9,3,2026-04-19,Low
M015,Generator Set,Power Equipment,900,7,32,11,2026-03-28,High
